Title,Question,Answer,Context
John Breckinridge (U.S. Attorney General),What is the significance of John Breckinridge (U.S. Attorney General)?,john breckinridge december december american lawyer slave owning planter soldier politician virginia kentucky served several terms state legislatures legislators elected u senate also served united states attorney general second term president thomas jefferson progenitor kentucky breckinridge political family namesake breckinridge county kentucky breckinridge father landowner colonel local virginia militia married preston political family breckinridge attended william mary college intermittently attendance interrupted revolutionary war three times election virginia house delegates one youngest members part time body allowed meet many prominent politicians married polly cabell member cabell political family despite making legal farming activities letters relatives kentucky convinced move western frontier established cabell dale plantation near lexington kentucky breckinridge continued legal political career appointed state attorney general soon arriving november resigned campaign election kentucky house representatives legislator breckinridge secured passage humane criminal code abolished death penalty offenses except first degree murder trip back virginia intermediary gave thomas jefferson kentucky resolutions denounced alien sedition acts jefferson request breckinridge assumed credit modified resolutions shepherded kentucky general assembly jefferson authorship discovered breckinridge death although breckinridge opposed calling constitutional convention new state elected delegate due influence state government remained comparatively aristocratic maintaining protections slavery limiting power electorate called father resultant constitution emerged convention acknowledged leader state democratic republican party fellow delegates elected speaker kentucky house representatives elected u senate breckinridge functioned jefferson floor leader guiding administration bills chamber narrowly controlled party residents western frontier called nomination vice president jefferson appointed u attorney general instead first cabinet level official west little impact death tuberculosis december age,"John Breckinridge (December 2, 1760 – December 14, 1806) was an American lawyer, slave-owning planter, soldier, and politician in Virginia and Kentucky. He served several terms each in both state's legislatures before legislators elected him to the U.S. Senate. He also served as United States Attorney General during the second term of President Thomas Jefferson. He is the progenitor of Kentucky's Breckinridge political family and the namesake of Breckinridge County, Kentucky.
Breckinridge's father was landowner and colonel in the local Virginia militia who married into the Preston political family. Breckinridge attended the William and Mary College intermittently between 1780 and 1784; his attendance was interrupted by the Revolutionary War and he three times won election to the Virginia House of Delegates. One of the youngest members of that (part-time) body, this allowed him to meet many prominent politicians. In 1785, he married ""Polly"" Cabell, a member of the Cabell political family. Despite making his legal and farming activities, letters from relatives in Kentucky convinced him to move to the western frontier. He established ""Cabell's Dale"", his plantation, near Lexington, Kentucky, in 1793.
Breckinridge continued his legal and political career and was appointed as the state's attorney general soon after arriving. In November 1797, he resigned to campaign, then won election to the Kentucky House of Representatives. As a legislator, Breckinridge secured passage of a more humane criminal code that abolished the death penalty for all offenses except first-degree murder. On a 1798 trip back to Virginia, an intermediary gave him Thomas Jefferson's Kentucky Resolutions, which denounced the Alien and Sedition Acts. At Jefferson's request, Breckinridge assumed credit for the modified resolutions he shepherded through the Kentucky General Assembly; Jefferson's authorship was not discovered until after Breckinridge's death. Although Breckinridge opposed calling a constitutional convention for the new state in 1799 he was elected as a delegate. Due to his influence, the state's government remained comparatively aristocratic, maintaining protections for slavery and limiting the power of the electorate. Called the father of the resultant constitution, he emerged from the convention as the acknowledged leader of the state's Democratic-Republican Party and fellow delegates elected him  Speaker of the Kentucky House of Representatives in 1799 and 1800.
Elected to the U.S. Senate in 1800, Breckinridge functioned as Jefferson's floor leader, guiding administration bills through the chamber that was narrowly controlled by his party. Residents of the western frontier called for his nomination as vice president in 1804, but Jefferson appointed him as U.S. Attorney General in 1805 instead. He was the first cabinet-level official from the West but had little impact before his death from tuberculosis on December 14, 1806, at the age of 46."
Francis T. Brooke,What is the significance of Francis T. Brooke?,francis taliaferro brooke august march virginia lawyer soldier politician judge served houses virginia general assembly fellow legislators elected virginia supreme court appeals later became supreme court virginia served decades became body fourth president called chief justice,"Francis Taliaferro Brooke (August 27, 1763 – March 3, 1851) was a Virginia lawyer, soldier, politician and judge.  He served in both houses of the Virginia General Assembly before fellow legislators elected him to the Virginia Supreme Court of Appeals (which later became the Supreme Court of Virginia), where he served decades and became that body's fourth President (now called Chief Justice)."
Abraham Buford,What is the significance of Abraham Buford?,abraham buford july june american soldier continental army officer american revolutionary war best known commanding officer american forces battle waxhaws war buford became member society cincinnati state virginia,"Abraham Buford (July 21, 1747 – June 30, 1833) was an American soldier. He was a Continental Army officer during the American Revolutionary War, best known as the commanding officer of the American forces at the Battle of Waxhaws. After the war Buford became a member of the Society of the Cincinnati of the State of Virginia."
Thomas Bullitt,What is the significance of Thomas Bullitt?,thomas bullitt february united states military officer surveyor prince william county virginia pioneer western frontier,"Thomas Bullitt (1730 – February 1778) was a United States military officer, and surveyor from Prince William County, Virginia and pioneer on its western frontier."
Arthur Campbell (Virginia soldier),What is the significance of Arthur Campbell (Virginia soldier)?,arthur campbell november august soldier indian wars american revolutionary war well member virginia house delegates campbell county tennessee named,"Arthur Campbell (November 3, 1743 – August 8, 1811) was a soldier in the Indian Wars and the American Revolutionary War as well as a member of the Virginia House of Delegates. Campbell County, Tennessee, was named after him."
William Campbell (general),What is the significance of William Campbell (general)?,william campbell born c died august virginia farmer pioneer soldier scottish scots irish heritage one thirteen signers earliest statement armed resistance british crown thirteen colonies fincastle resolutions campbell represented hanover county virginia house delegates militia leader american revolutionary war known loyalists bloody tyrant washington county patriots known leadership battle kings mountain battle guilford courthouse,"William Campbell (born c. 1745 and died on August 22, 1781) was a Virginia farmer, pioneer, and soldier of Scottish and Scots-Irish heritage. One of the thirteen signers of the earliest statement of armed resistance to the British Crown in the Thirteen Colonies, the Fincastle Resolutions,  Campbell represented Hanover County in the Virginia House of Delegates. A militia leader during the American Revolutionary War, he was known to Loyalists as the ""bloody tyrant of Washington County"", but to the Patriots he was known for his leadership at the Battle of Kings Mountain and the Battle of Guilford Courthouse."
William Christian (Virginia politician),What is the significance of William Christian (Virginia politician)?,william christian c april military officer planter politician western part colony virginia represented fincastle county house burgesses relations britain soured signed fincastle resolutions later represented western virginia virginia senate founded fort william louisville kentucky well helped negotiate treaty long island holston made peace overmountain men cherokees killed outset northwest indian war leading expedition native americans near jeffersonville indiana,"William Christian (c. 1742 – April 9, 1786) was a military officer, planter and politician from the western part of the Colony of Virginia. He represented Fincastle County in the House of Burgesses and as relations with Britain soured, signed the Fincastle Resolutions. He later represented western Virginia in the Virginia Senate and founded Fort William (now Louisville, Kentucky), as well as helped negotiate the Treaty of Long Island of the Holston, which made peace between the Overmountain Men and Cherokees in 1777. He was killed in 1786 at the outset of the Northwest Indian War, leading an expedition against Native Americans near what is now Jeffersonville, Indiana."
John Clopton,What is the significance of John Clopton?,john clopton february september virginia lawyer patriot politician served military officer american revolutionary war later virginia house delegates united states house representatives,"John Clopton (February 7, 1756 – September 11, 1816) was a Virginia lawyer, patriot and politician who served as a military officer in the American Revolutionary War, and later in the Virginia House of Delegates and United States House of Representatives."
Isaac Coles,What is the significance of Isaac Coles?,isaac coles march june american planter militia officer politician virginia,"Isaac Coles (March 2, 1747 – June 3, 1813) was an American planter, militia officer and politician from Virginia."
Anthony Crockett (soldier),What is the significance of Anthony Crockett (soldier)?,anthony crockett november december american soldier american revolutionary war northwest indian war war also served kentucky politician,"Anthony Crockett (November 19, 1754 – December 5, 1838) was an American soldier during the American Revolutionary War, the Northwest Indian War, and the War of 1812. He also served as a Kentucky politician."
John Fowler (politician),What is the significance of John Fowler (politician)?,john fowler april august american planter political leader virginia kentucky jeffersonian democrat served democratic republican member united states house representatives kentucky united states congress fowler also early settler civic leader lexington kentucky,"John Fowler (April 27, 1756 – August 22, 1840) was an American planter and political leader in Virginia and Kentucky. He was a Jeffersonian Democrat who served as a Democratic-Republican member of the United States House of Representatives from Kentucky in the United States Congress from 1797 to 1807. Fowler was also an early settler and civic leader in Lexington, Kentucky."
James Garrard,What is the significance of James Garrard?,james garrard january january american farmer baptist minister politician served second governor kentucky term limits imposed state constitution adopted last kentucky governor elected two consecutive terms restriction eased amendment allowing paul e patton election serving revolutionary war garrard moved west part virginia bourbon county kentucky held several local political offices represented area virginia house delegates chosen delegate five ten statehood conventions secured kentucky separation virginia helped write state first constitution garrard among delegates unsuccessfully tried exclude guarantees continuance slavery document sought succeed isaac shelby governor three way race benjamin logan received plurality majority electoral votes cast although state constitution specify whether plurality majority required electors held another vote top two candidates logan garrard vote garrard received majority logan protested garrard election state attorney general john breckinridge state senate claimed constitutional power intervene democratic republican garrard opposed alien sedition acts favored passage kentucky resolutions lobbied public education militia prison reforms business subsidies legislation favorable state large debtor class state first governor mansion constructed garrard became first resident due part confusion resulting election favored calling constitutional convention anti slavery views chosen delegate convention resulting constitution governor popularly elected forbidden succeeding office although garrard personally exempted provision elected second term applauded thomas jefferson purchase louisiana france means dealing closure port new orleans u goods late term secretary state harry toulmin persuaded adopt doctrines unitarianism expelled baptist church ending ministry also clashed legislature appointment registrar state land office leaving embittered unwilling continue politics conclusion term retired estate mount lebanon engaged agricultural commercial pursuits death january garrard county kentucky created first term named honor,"James Garrard (January 14, 1749 – January 9, 1822) was an American farmer, Baptist minister and politician who served as the second governor of Kentucky from 1796 to 1804. Because of term limits imposed by the state constitution adopted in 1799, he was the last Kentucky governor elected to two consecutive terms until the restriction was eased by a 1992 amendment, allowing Paul E. Patton's re-election in 1999.
After serving in the Revolutionary War, Garrard moved west to the part of Virginia that is now Bourbon County, Kentucky. He held several local political offices and represented the area in the Virginia House of Delegates. He was chosen as a delegate to five of the ten statehood conventions that secured Kentucky's separation from Virginia and helped write the state's first constitution. Garrard was among the delegates who unsuccessfully tried to exclude guarantees of the continuance of slavery from the document. In 1795, he sought to succeed Isaac Shelby as governor. In a three-way race, Benjamin Logan received a plurality, but not a majority, of the electoral votes cast. Although the state constitution did not specify whether a plurality or a majority was required, the electors held another vote between the top two candidates – Logan and Garrard – and on this vote, Garrard received a majority. Logan protested Garrard's election to state attorney general John Breckinridge and the state senate, but both claimed they had no constitutional power to intervene.
A Democratic-Republican, Garrard opposed the Alien and Sedition Acts and favored passage of the Kentucky Resolutions. He lobbied for public education, militia and prison reforms, business subsidies, and legislation favorable to the state's large debtor class. In 1798, the state's first governor's mansion was constructed, and Garrard became its first resident. Due in part to the confusion resulting from the 1795 election, he favored calling a constitutional convention in 1799. Because of his anti-slavery views, he was not chosen as a delegate to the convention. Under the resulting constitution, the governor was popularly elected and was forbidden from succeeding himself in office, although Garrard was personally exempted from this provision and was re-elected in 1799. During his second term, he applauded Thomas Jefferson's purchase of Louisiana from France as a means of dealing with the closure of the port at New Orleans to U.S. goods. Late in his term, his Secretary of State, Harry Toulmin, persuaded him to adopt some doctrines of Unitarianism, and he was expelled from the Baptist church, ending his ministry. He also clashed with the legislature over the appointment of a registrar for the state land office, leaving him embittered and unwilling to continue in politics after the conclusion of his term. He retired to his estate, Mount Lebanon, and engaged in agricultural and commercial pursuits until his death on January 19, 1822. Garrard County, Kentucky, created during his first term, was named in his honor.

"
Samuel Goode (American politician),What is the significance of Samuel Goode (American politician)?,samuel goode march november united states representative virginia born whitby chesterfield county colony virginia completed preparatory studies studied law admitted bar practiced american revolutionary war served lieutenant chesterfield troop horse later colonel militia member virginia house delegates elected democratic republican sixth congress serving march march leaving congress goode returned law along managing land son dr thomas goode later owner operator homestead spa died invermay mecklenburg county interment estate near invermay,"Samuel Goode (March 21, 1756 – November 14, 1822) was a United States representative from Virginia. Born in ""Whitby"" in Chesterfield County in the Colony of Virginia, he completed preparatory studies, studied law, was admitted to the bar and practiced. During the American Revolutionary War he served as a lieutenant in the Chesterfield Troop of Horse and later as a colonel of militia. He was a member of the Virginia House of Delegates from 1778 to 1785, and was elected as a Democratic-Republican to the Sixth Congress, serving from March 4, 1799, to March 3, 1801. After leaving Congress, Goode returned to law, along with managing his land.
His son was Dr. Thomas Goode, who was later the owner and operator of the Homestead spa.
He died in Invermay, Mecklenburg County; interment was on his estate near Invermay."
Peterson Goodwyn,What is the significance of Peterson Goodwyn?,peterson goodwyn february american planter lawyer soldier politician virginia served united states house representatives death,"Peterson Goodwyn (1745 – February 21, 1818) was an American planter, lawyer, soldier and politician from Virginia. He served in the United States House of Representatives from 1803 until his death in 1818."
Christopher Greenup,What is the significance of Christopher Greenup?,christopher greenup c april american politician served u representative third governor kentucky little known early life first reliable records documents recording service revolutionary war served lieutenant continental army colonel virginia militia service war greenup helped settle trans appalachian regions virginia became involved politics played active role three ten statehood conventions secured separation kentucky virginia became one state first representatives served kentucky general assembly elected governor race due immense popularity ran unopposed greenup term office marred accusations participated burr conspiracy align kentucky spain prior former separation virginia vigorously successfully rebutted charges following term governor became less active political arena died april greenup county kentucky county seat named honor,"Christopher Greenup (c. 1750 – April 27, 1818) was an American politician who served as a U.S. Representative and the third Governor of Kentucky. Little is known about his early life; the first reliable records about him are documents recording his service in the Revolutionary War where he served as a lieutenant in the Continental Army and a colonel in the Virginia militia.
After his service in the war, Greenup helped settle the trans-Appalachian regions of Virginia. He became involved in politics, and played an active role in three of the ten statehood conventions that secured the separation of Kentucky from Virginia in 1792. He became one of the state's first representatives, and served in the Kentucky General Assembly before being elected governor in a race where, due to his immense popularity, he ran unopposed.
Greenup's term in office was marred by accusations that he had participated in the Burr Conspiracy to align Kentucky with Spain prior to the former's separation from Virginia, but he vigorously and successfully rebutted these charges. Following his term as governor, he became less active in the political arena. He died on April 27, 1818. Greenup County, Kentucky and its county seat were both named in his honor."
George Hairston,What is the significance of George Hairston?,george hairston september march virginia planter patriot politician virginia served one term virginia house delegates representing henry county serving colonel american revolutionary war later served brigadier general war first three men name serve virginia general assembly unlike two men descendants serve virginia senate although hairston may better known building beaver creek plantation remained home farmed using enslaved labor helping found martinsburg,"George Hairston (September 20, 1750 – March 5, 1825) was a Virginia planter, patriot and politician in Virginia who served one term in the Virginia House of Delegates representing Henry County after serving as a Colonel in the American Revolutionary War and later served as a Brigadier General in the War of 1812. The first of three men of the same name to serve in the Virginia General Assembly, unlike the two other men (his descendants), he did not serve in the Virginia Senate, although this Hairston may be better known for building  Beaver Creek Plantation, which remained his home and which he farmed using enslaved labor, or for helping to found Martinsburg."
Robert Hairston,What is the significance of Robert Hairston?,robert hairston august th century settler became planter politician military officer virginia served initial session virginia house delegates representing henry county,"Robert Hairston (1717—August 3, 1791) was an 18th century settler who became a planter, politician, and military officer in Virginia and served in the initial session of the Virginia House of Delegates representing Henry County."
Phillip Hamman,What is the significance of Phillip Hamman?,phillip hamman american soldier revolutionary war ordained preacher friendship baptist church fackler alabama tidence lane chapter daughters american revolution placed marker grave,"Phillip Hamman was an American soldier in the Revolutionary War of 1775–1783. In 1823 he was ordained preacher of the Friendship Baptist Church of Fackler, Alabama.: 65  In 1970 the Tidence Lane chapter of the Daughters of the American Revolution placed a marker on his grave."
Major William Haymond,What is the significance of Major William Haymond?,william haymond january november military officer surveyor haymond served french indian war revolutionary war prior revolution served george washington virginia regiment revolution haymond commissioned major benjamin harrison v revolution served official surveyor west virginia,"William Haymond (January 4, 1740 – November 12, 1821) was a military officer and surveyor.  Haymond served in the French and Indian War and the Revolutionary War. Prior to the Revolution, he served in George Washington's Virginia Regiment. In 1781, during the Revolution, Haymond was commissioned to major by Benjamin Harrison V. After the Revolution, he served as an official surveyor in what is now West Virginia."
Leonard Helm,What is the significance of Leonard Helm?,leonard helm american frontiersman military officer served american revolutionary war born around probably fauquier county virginia died poverty fighting native american allies british troops one last engagements revolutionary war around june jefferson county virginia jefferson county kentucky,"Leonard Helm was an American frontiersman and military officer who served during the American Revolutionary War. Born around 1720 probably in Fauquier County, Virginia, he died in poverty while fighting Native American allies of British troops during one of the last engagements of the Revolutionary War around June 4, 1782, in Jefferson County, Virginia (now Jefferson County, Kentucky).

"
Alexander Henderson (American politician),What is the significance of Alexander Henderson (American politician)?,alexander henderson march november merchant politician british colony american state virginia,"Alexander Henderson (March 2, 1738 – November 22, 1815) was a merchant and politician in the British colony and American state of Virginia."
Patrick Henry,What is the significance of Patrick Henry?,patrick henry may may june american politician planter orator declared second virginia convention give liberty give death founding father served first sixth post colonial governor virginia native hanover county virginia henry primarily educated home unsuccessful venture running store well assisting father law hanover tavern became lawyer self study beginning practice henry soon became prominent victory parson cause anglican clergy elected virginia house burgesses quickly became notable inflammatory rhetoric stamp act henry served delegate first continental congress signed petition king helped draft continental association gained popularity among people virginia oratory convention marching troops towards colonial capital williamsburg gunpowder incident munitions seized royal government paid henry urged independence fifth virginia convention endorsed served committee charged drafting virginia declaration rights original virginia constitution henry promptly elected governor new charter served total five one year terms leaving governorship henry served virginia house delegates began last two terms governor actions national government articles confederation made henry fear strong federal government declined appointment delegate constitutional convention actively opposed ratification united states constitution fearing powerful central government yet bill rights returned practice law final years declining several offices federal government slaveholder throughout adult life hoped see institution end plan beyond ending importation slaves henry remembered oratory enthusiastic promoter fight independence,"Patrick Henry (May 29, 1736 [O.S. May 18, 1736] – June 6, 1799) was an American politician, planter and orator who declared to the Second Virginia Convention (1775): ""Give me liberty, or give me death!"" A Founding Father, he served as the first and sixth post-colonial Governor of Virginia, from 1776 to 1779 and from 1784 to 1786.
A native of Hanover County, Virginia, Henry was primarily educated at home. After an unsuccessful venture running a store, as well as assisting his father-in-law at Hanover Tavern, he became a lawyer through self-study. Beginning his practice in 1760, Henry soon became prominent through his victory in the Parson's Cause against the Anglican clergy. He was elected to the Virginia House of Burgesses, where he quickly became notable for his inflammatory rhetoric against the Stamp Act of 1765.
In 1774, Henry served as a delegate to the First Continental Congress where he signed the Petition to the King, which he helped to draft, and the Continental Association. He gained further popularity among the people of Virginia, both through his oratory at the convention and by marching troops towards the colonial capital of Williamsburg after the Gunpowder Incident until the munitions seized by the royal government were paid for. Henry urged independence, and when the Fifth Virginia Convention endorsed this in 1776, he served on the committee charged with drafting the Virginia Declaration of Rights and the original Virginia Constitution. Henry was promptly elected governor under the new charter and served a total of five one-year terms.
After leaving the governorship in 1779, Henry served in the Virginia House of Delegates until he began his last two terms as governor in 1784. The actions of the national government under the Articles of Confederation made Henry fear a strong federal government, and he declined appointment as a delegate to the 1787 Constitutional Convention. He actively opposed the ratification of the United States Constitution, both fearing a powerful central government and because there was as yet no Bill of Rights. He returned to the practice of law in his final years, declining several offices under the federal government. A slaveholder throughout his adult life, he hoped to see the institution end but had no plan beyond ending the importation of slaves. Henry is remembered for his oratory and as an enthusiastic promoter of the fight for independence."
John Hopwood,What is the significance of John Hopwood?,john hopwood june american civil servant american revolutionary war founded town hopwood pennsylvania originally named woodstock western pennsylvania john hopwood born virginia married hannah bearcroft barecroft humphreys young widow joseph humphries according local family lore neighbor trusted friend george washington recognition merit selected aide de camp assigned responsibility selecting winter quarters french army however supporting evidence beyond local histories compiled late th century per daughters american revolution hopwood recorded furnished supplies served juror,"John Hopwood (1745 – June 2, 1802) was an American civil servant during the American Revolutionary War and founded the town of Hopwood, Pennsylvania (originally named ""Woodstock"") in western Pennsylvania.  John Hopwood was born in Virginia and married Hannah Bearcroft/Barecroft Humphreys, the young widow of Joseph Humphries, in 1770.
According to local and family lore, he was a neighbor and trusted friend of George Washington, who in recognition of his merit, selected him as an aide-de-camp and assigned him the responsibility of selecting winter quarters for the French Army. However, there is no supporting evidence of this beyond local histories compiled in the late 19th century; per the Daughters of the American Revolution, Hopwood was only recorded as having ""furnished supplies"" and having served as a juror."
Alexander Hunter (planter),What is the significance of Alexander Hunter (planter)?,alexander hunter born bedford county virginia died henry county virginia noted th century tobacco planter southwestern virginia supplier american revolutionary army home hunter place along smith river virginia henry county,"Alexander Hunter (born 1750 in Bedford County, Virginia- died 1804 in Henry County, Virginia) was a noted 18th century tobacco planter in Southwestern Virginia, and supplier to the American Revolutionary Army. His home, ""Hunter's Place"", was along the Smith River (Virginia) in Henry County."
Narsworthy Hunter,What is the significance of Narsworthy Hunter?,narsworthy hunter c march delegate u congress mississippi territory state first representative congress hunter born virginia unknown birth date though time death estimated years old relocated young adult mississippi granted acres cole creek spanish government natchez district became captain local militia formed presented petition andrew ellicott citizens asking united states intervene interests ellicott sent philadelphia deliver message secretary state hunter returned commission inspector military posts east mississippi governor sargent promoted hunter major militia offered office major horse due opposition governor hunter declined sent capitol philadelphia committee committee opposed governor sargent succeeded getting congress allow mississippi create general assembly elect delegate general assembly formed hunter elected assembly territory delegate seventh congress traveled new capitol washington served little three months december march dying suddenly first member congress die office capitol moved washington c died boarding house six buildings washington c buried yard mrs balch meeting house georgetown later moved presbyterian cemetery georgetown opened months later reinterred congressional cemetery presbyterian developed,"Narsworthy Hunter (c. 1756 – March 11, 1802) was a delegate to the U.S. Congress from the Mississippi Territory and that state's first representative to Congress.
Hunter was born in Virginia at an unknown birth date, though at the time of his death he was estimated to be about 45 years old. He relocated as a young adult to Mississippi. In 1795, he was granted 1000 acres on Cole's Creek by the Spanish government in the Natchez District. He became a captain in the local militia, formed in 1793, and presented a petition to Andrew Ellicott from citizens asking the United States to intervene in their interests. Ellicott sent him to Philadelphia to deliver a message to the Secretary of State and Hunter returned with a commission of inspector of military posts east of the Mississippi. In 1798, Governor Sargent promoted Hunter to Major in the militia, and offered him the office of Major of Horse, but due to his opposition of the Governor, Hunter declined. In 1799 he was sent to the Capitol in Philadelphia by a committee, the Committee of 1799, opposed to Governor Sargent and succeeded in getting Congress to allow Mississippi to create a general assembly and an elect a delegate.
Once the general assembly was formed in 1801, Hunter was elected by the assembly as the territory's delegate to the Seventh Congress. He traveled to the new Capitol in Washington, where he served for a little more than three months (December 7, 1801 – March 11, 1802) before dying suddenly. He was the first member of Congress to die in office after the Capitol moved to Washington, D.C.
He died in his boarding house in the Six Buildings in Washington, D.C., and was buried ""the Yard by Mrs. Balch's Meeting House"" in Georgetown. He was later moved to Presbyterian Cemetery in Georgetown, which opened a few months later, and then was reinterred at Congressional Cemetery in the 1890s when Presbyterian was developed."
George Jackson (Virginia politician),What is the significance of George Jackson (Virginia politician)?,george jackson january may american farmer lawyer politician,"George Jackson (January 9, 1757 – May 17, 1831) was an American farmer, lawyer, and politician."
Jack Jouett,What is the significance of Jack Jouett?,john jouett jr december march american farmer politician virginia kentucky best known mile km ride american revolution sometimes called paul revere south jouett rode warn thomas jefferson outgoing governor virginia virginia legislature fled new state capitol electing successor british cavalry sent capture war jouett moved across appalachian mountains called kentucky county thrice served virginia house delegates first representing lincoln county later mercer county kentucky statehood occurred jouett also represented mercer county danville separation convention later served three terms kentucky house representatives first representing mercer county adjoining woodford county,"John Jouett Jr. (December 7, 1754 – March 1, 1822) was an American farmer and politician in Virginia and Kentucky best known for his 40-mile (60 km) ride during the American Revolution. Sometimes called the ""Paul Revere of the South"", Jouett rode to warn Thomas Jefferson, then the outgoing governor of Virginia (and the Virginia legislature who had fled the new state's capitol before electing his successor) that British cavalry had been sent to capture them. After the war, Jouett moved across the Appalachian Mountains to what was then called Kentucky County. He thrice served in the Virginia House of Delegates, first representing Lincoln County and later Mercer County before Kentucky's statehood (which occurred in 1792). Jouett also represented Mercer County at the Danville Separation Convention in 1788. He later served three terms in the Kentucky House of Representatives, first representing Mercer County, then adjoining Woodford County."
John LaRue,What is the significance of John LaRue?,john p larue kentucky pioneer member larue family virginia,John P. LaRue (1746–1792) was a Kentucky pioneer and member of the LaRue family of Virginia.
Robert Lawson (American general),What is the significance of Robert Lawson (American general)?,robert lawson january march virginia lawyer planter politician distinguished american revolutionary war rising rank brigadier general virginia militia conflict practiced law held various political offices operated plantation prince edward county virginia also suffered alcoholism caused estrangement family well swindled discussed united states supreme court wagner v baird u although granted acres land became state ohio lawson transferred rights swindler decades later heirs unsuccessfully sought redress,"Robert Lawson (January 23, 1748 – March 28, 1805) was a Virginia lawyer, planter and politician who distinguished himself in the American Revolutionary War, rising to the rank of brigadier general in the Virginia militia. After the conflict, he practiced law, held various political offices and operated a plantation in Prince Edward County, Virginia, but also suffered from alcoholism, which caused his estrangement from his family as well as being swindled. As discussed by the United States Supreme Court in Wagner v. Baird, 48 U.S. 234 (1849), although granted over 10,000 acres of land in what became the state of Ohio, Lawson transferred those rights to a swindler, so decades later his heirs unsuccessfully sought redress."
