Title,Summary
Early American publishers and printers,"Printing and publishing in the 17th and 18th centuries in the colonies first emerged as a result of religious enthusiasm. By the mid-18th century, printing took on new proportions with the newspapers that began to emerge, especially in Boston. Many of these newspapers became highly critical and outspoken about the British colonial government. The subject of early American printing and publishing as it affected political and social issues in the colonies has been pursued with a ""noticeable reluctance,"" says Wroth. According to Wroth, however, the overall subject, which is the focus of this article, is being pursued with ""noticeably reluctance"""
Financial costs of the American Revolutionary War,"The American Revolutionary War inflicted great financial costs on all of the combatants. France and Great Britain spent 1.3 billion livres and 250 million pounds, respectively. The United States spent $400 million in wages for its troops."
Founding Fathers of the United States,"The Founding Fathers of the United States were a group of late-18th-century American revolutionary leaders. They united the Thirteen Colonies, oversaw the War of Independence from Great Britain, established the U.S. of America. Most of the Founding Fathers were of English ancestry."
George Washington's tent,"General George Washington used a pair of campaign tents throughout much of the American Revolutionary War. Canvas panels and poles from both tents survive, and are currently owned by four separate historical organizations."
Give me liberty or give me death!,"""Give me liberty or give me death!"" is a quotation attributed to American politician and orator Patrick Henry. Henry is credited with having swung the balance in convincing the convention to pass a resolution delivering Virginian troops for the Revolutionary War. Among the delegates to the convention were future United States presidents Thomas Jefferson and George Washington."
Gwynn's Island,Gwynn's Island is a summer colony island located in the Chesapeake Bay off of Virginia's Middle Peninsula. It is connected to the rest of the county by a swing bridge over Milford Haven.
Samuel Hall (printer),"Samuel Hall (1740-1807), was an Early American publisher and printer, newspaper editor, and an ardent colonial American patriot. Hall was the founder of The Essex Gazette, the first newspaper published in Salem, Massachusetts in 1768. He often employed his newspaper as a voice supporting colonial grievances over taxation and other actions by the British Parliament."
"Historical reenactment in Concord and Lexington, Massachusetts","The towns of Concord and Lexington, Massachusetts, are the site of Minute Man National Historical Park. The most highly attended event in the park is the annual reenactment of the first shots of the Battles of Lexington and Concord."
Historiography of the Gaspee affair,"HMS Gaspee was a British customs schooner that ran aground while patrolling coastal waters near Newport, Rhode Island. It was boarded and destroyed by colonists during the lead up to the American Revolution in 1772. Scholars agree that the incident sparked a period of renewed tension between Great Britain and its American colonies."
Impressment,"Impressment, colloquially ""the press"" or the ""press gang"", is the forced conscription of men into a military force, especially a naval force, via intimidation and physical coercion. The large size of the British Royal Navy in the Age of Sail meant impressment was most commonly associated with Great Britain and Ireland. The Royal Navy impressed many merchant sailors, as well as some sailors from other, mostly European, nations. Non-seamen were sometimes impressed as well, though rarely."
Johnny Has Gone for a Soldier,"""Johnny Has Gone for a Soldier"" is an Irish folk song. The lyrics lament the sacrifices that men and women make in going off to war. Peter, Paul, and Mary used the first and third verses of the song in the arranged song ""Gone the Rainbow"""
"Join, or Die","The cartoon is a woodcut showing a snake cut into eighths, with each segment labeled with the initials of one of the American colonies or regions. The poster focused solely on the colonies that claimed shared identities as Americans. It later became a symbol of colonial freedom during the American Revolutionary War."
Lexington Alarm,"The Lexington Alarm announced, throughout the American Colonies, that the Revolutionary War began with the Battle of Lexington and the Siege of Boston on April 19, 1775. The goal was to rally patriots at a grass roots level to fight against the British Redcoats."
Libertas Americana,"A Libertas Americana was showcased on season 15 of the American reality television series Pawn Stars. It was sold for 150,000 dollars. The medal was designed in part by Benjamin Franklin."
Liberty Affair,"The Liberty Affair was an incident that culminated to a riot in 1768, leading to the Boston Massacre on March 5, 1770. It involved the seizure of the Liberty, a sloop owned by local smuggler and merchant John Hancock, by British authorities."
Liberty pole,"A liberty pole is a wooden pole, or sometimes spear or lance, surmounted by a ""cap of liberty"" The symbol originated in the immediate aftermath of the assassination of the Roman dictator Julius Caesar by a group of Rome's Senators in 44 BCE."
Liberty Tree,"The Liberty Tree stood in Boston, Massachusetts near Boston Common in the years before the American Revolution. In 1765, Patriots in Boston staged the first act of defiance against the British government at the tree. The Liberty Tree was felled in August 1775 by Loyalists led by Nathaniel Coffin Jr."
List of early American publishers and printers,"List of early American publishers and printers is a stand alone list of Wikipedia articles about publishers and printer in colonial and early America. It is intended as a quick reference, with basic descriptions taken from the ledes of the respective articles."
Expulsion of the Loyalists,"During the American Revolution, those who continued to support King George III of Great Britain came to be known as Loyalists. Loyalists are to be contrasted with Patriots, who supported the Revolution. As the war concluded with Great Britain defeated by the Americans and the French, the most active Loyalists were no longer welcome in the United States. The government transported nearly 3,500 free blacks to New Brunswick. The government helped them resettle in Canada as well, transporting them to the province."
Lumières,"The Lumières was a cultural, philosophical, literary and intellectual movement. It originated in western Europe and spread to the rest of the world. The movement was influenced by the scientific revolution in southern Europe. It saw the triumph of reason over faith and belief."
Thomas Masterson (American Revolution),Thomas Masterson was an officer in the American Revolution. He served as a Midshipman in the Virginia State Navy. Masterson served in the Battle of Bunker Hill.
Mersereau Ring,The Mersereau Ring was a spy ring operating throughout the New Brunswick and New York regions during the American Revolution. The ring began gathering intelligence on British military activity for General George Washington as early as December 1776.
HMS Musquito (1777),HMS Musquito was a gunboat built by the British near a fort in present-day Michigan in 1777. This vessel was later captured at the Battle of Point Coupe by a group of George Rogers Clark's men of the Virginia State Line. It was sold by the Virginia assembly to the Continental Navy in late 1779 for use on the Ohio and Mississippi rivers.
No taxation without representation,"""No taxation without representation"" is a political slogan that originated in the American Revolution. It expressed one of the primary grievances of the American colonists for Great Britain. The term has since been used by various other groups advocating for representation or protesting against taxes."
The Papers of Benjamin Franklin,"The Papers of Benjamin Franklin is a collaborative effort by a team of scholars at Yale University, American Philosophical Society and others. The publication of Franklin's papers has been an ongoing production since its first issue in 1959, and is expected to reach nearly fifty volumes. The first editor to amass and organize the papers was Leonard W. Labaree, beginning in 1959."
Paul Revere's Midnight Ride,"Paul Revere's Midnight Ride was an alert given to minutemen in the Province of Massachusetts Bay by local Patriots on the night of April 18, 1775. It warned them of the approach of British Army troops prior to the battles of Lexington and Concord. The ride has been commemorated in a range of cultural depictions."
Pennsylvania Chronicle,"The Pennsylvania Chronicle and Universal Advertiser was published in Philadelphia, Pennsylvania, prior to the American Revolution. It was founded by William Goddard and his silent business partners Joseph Galloway and Thomas Wharton. Benjamin Franklin, an associate of Galloway, was also a partner with the Chronicle."
Pennsylvania Mutiny of 1783,"The Pennsylvania Mutiny of 1783 was an anti-government protest by nearly 400 soldiers of the Continental Army in June 1783. The mutiny, and the refusal of the Executive Council of Pennsylvania to stop it, ultimately resulted in Congress of the Confederation vacating Philadelphia and the creation of a federal district."
Philadelphia campaign,"The Philadelphia campaign (1777–1778) was a British military campaign during the American Revolutionary War. British General William Howe failed to draw the Continental Army into a battle in North Jersey. Howe then embarked his army on transports, and landed them at the northern end of the Chesapeake Bay, where they began advancing north toward Philadelphia. Washington prepared defenses against Howe's movements at Brandywine Creek, but was flanked and beaten back. After further skirmishes and maneuvers, Howe entered and occupied Philadelphia."
Philipsburg Proclamation,The Philipsburg Proclamation is a historical document issued by British Army General Sir Henry Clinton on 30 June 1779. It was intended to encourage slaves to run away and enlist in the Royal Forces.
Phrygian cap,"The Phrygian cap is a soft conical cap with the apex bent over, associated in antiquity with several peoples in Eastern Europe, Anatolia and Asia. The original cap of liberty was the Roman pileus, the felt cap of emancipated slaves of ancient Rome, which was an attribute of Libertas, the Roman goddess of liberty."
Pine Tree Riot,"The Pine Tree Riot was an act of resistance to British royal authority undertaken by American colonists in Weare, New Hampshire, on April 14, 1772. In 1722, it became illegal to cut down white pine trees larger than 12 inches in diameter in New Hampshire in order to reserve them for use as Royal Navy masts."
Pompton Mutiny,"The Pompton Mutiny was a revolt of Continental Army troops at Pompton Camp in what was then Pompton Township, New Jersey. The revolt occurred on January 20, 1781, beneath the command of Colonel Israel Shreve."
Provincial Congress,The Provincial Congresses were extra-legal legislative bodies established in ten of the Thirteen Colonies early in the American Revolution. These bodies were generally renamed or replaced with other bodies when the provinces declared themselves states.
Quakers in the American Revolution,"Members of the Religious Society of Friends lived throughout the thirteen British colonies in North America. Early in the conflict's history, Quakers participated in the revolutionary movement through nonviolent actions. The outbreak of war created an ideological divide among the group, as most Quakers remained true to their pacifist beliefs."
Roderigue Hortalez and Company,"Roderigue Hortalez and Company was a corporation created by Luis de Unzaga as coordinator of interests of Spain and France in May of 1775. The ruse was organized by Pierre-Augustin Caron de Beaumarchais, a French playwright, watch-maker, inventor, musician, politician, fugitive, spy."
Chasseurs-Volontaires de Saint-Domingue,"The Chasseurs-Volontaires de Saint-Domingue was a Creole regiment from Saint- Domingue. Though the regiment was for non-whites, the officers were white, with the exception of Laurent François Lenoir, Marquis de Rouvray, who commanded the regiment."
Sons of Liberty,"The Sons of Liberty was a loosely organized, clandestine, sometimes violent, political organization active in the Thirteen American Colonies. It played a major role in most colonies in battling the Stamp Act in 1765 and throughout the entire period of the American Revolution. The name was an underground term for any men resisting new Crown taxes and laws."
Sons of Neptune,"The Sons of Neptune were a group of colonial sailors. They were active before and during the American Revolution. Among those affiliated with them are John Lamb, John Morin Scott and Issac Sears."
Spirit of '76 (sentiment),The Spirit of '76 is a patriotic sentiment typified by the zeitgeist surrounding the American Revolution. It refers to the attitude of self-determination and individual liberty made manifest in the U.S. Declaration of Independence.
Staten Island Peace Conference,"The conference took place on September 11, 1776, a few days after the British had captured Long Island and less than three months after the formal American Declaration of Independence. The participants were the British Admiral Lord Richard Howe, and members of the Second Continental Congress."
"Sullivan's Island, South Carolina","Sullivan's Island is a town and island in Charleston County, South Carolina, United States. It was the point of entry for approximately 40 to 50 percent of the 400,000 enslaved Africans brought to Colonial America. During the American Revolution, the island was the site of a major battle at Fort Sullivan."
Timeline of the American Revolution,"The American Revolution includes political, social, and military aspects. Thirteen Colonies in North America joined together for independence from the British Empire. After victory in the Revolutionary War, they combined to form the United States."
The Constitutional Courant,The Constitutional Courant was a single issue colonial American-newspaper published in response to the Stamp Act of 1765. It was printed by William Goddard under an assumed name of Andrew Marvel.
The Essex Gazette,"The Essex Gazette was a weekly newspaper established in 1768 by Samuel Hall in Salem, Massachusetts. It was the first newspaper published in Massachusetts outside Boston, the colony's capital. The Gazette was relocated to Cambridge in 1775 following the outbreak of the American Revolutionary War."
The Providence Gazette,"The Providence Gazette was first published October 20, 1762, by William Goddard and his partner John Carter. It was printed every Saturday, from types of English and long primer. The paper was published weekly and passionately defended the rights of the colonies before the revolution."
Tory,A Tory is an individual who supports a political philosophy known as Toryism. It is based on a British version of traditionalist conservatism. Tories are monarchists of a high church Anglican religious heritage.
United States Military Lands,"The United States Congress provided 2.6 million acres (10,500 km²) of land to Army soldiers and officers. The decision to offer federal lands to Revolutionary War veterans helped to establish a precedent that would be repeated throughout the 19th century."
Vermont Republic,"The Vermont Republic (French: République du Vermont) existed from January 15, 1777, to March 4, 1791. Delegates from 28 towns met and declared independence from the jurisdictions and land claims of the British colonies of Quebec, New Hampshire, and New York. The republic remained in existence for the next 14 years, albeit without diplomatic recognition from any foreign power."
Verplanck's Point,"Verplanck's Point lies at the southernmost end of the hamlet of Verplanck in the town of Cortlandt, New York in the upper northwest corner of Westchester County. Both derive their name from the activities of the Ver Planck family, established in New Amsterdam in the 1630s."
Virginia Plan,The Virginia Plan was proposed at the Constitutional Convention of 1787. The plan was drafted by James Madison and Edmund Randolph. It called for the creation of a supreme national government with three branches and a bicameral legislature.
Worcester Revolt,"The Worcester Revolt was a confrontation between American militiamen and the British colonial authorities in Worcester, Massachusetts on September 6, 1774. After the Boston Tea Party in December 1773 the British reacted with the Intolerable Acts, revoking self-government and replacing it by military rule."
Robert K. Wright Jr.,Robert K. Wright Jr. is an American military historian and author. He is best known for his work on the Second World War. Wright is married and has two children.
