Title,Page ID,Description,Content
Constitutional Convention (United States),1743283,"The Constitutional Convention took place in Philadelphia from May 25 to September 17, 1787. Although the convention was intended to revise the league of states and first system of government under the Articles of Confederation, the intention from the outset of many of its proponents, chief among them James Madison of Virginia and Alexander Hamilton of New York, was to create a new frame of government rather than fix the existing one. The delegates elected George Washington of Virginia, former commanding general of the Continental Army in the late American Revolutionary War (1775–1783) and proponent of a stronger national government, to become President of the convention. The result of the convention was the creation of the Constitution of the United States, placing the Convention among the most significant events in American history.
The convention took place in the old Pennsylvania State House, now known as Independence Hall, in Philadelphia. At the time, the convention was not referred to as a constitutional convention. It was contemporarily known as the Federal Convention, the Philadelphia Convention, or the Grand Convention at Philadelphia. Nor did most of the delegates arrive intending to draft a new constitution. Many assumed that the purpose of the convention was to discuss and draft improvements to the existing Articles of Confederation, and would not have agreed to participate otherwise. Once the convention began, however, most of the delegates – though not all – came to agree in general terms that the goal would be a new system of government, not simply a revised version of the Articles of Confederation.
Several broad outlines were proposed and debated, most notably Madison's Virginia Plan and William Paterson's New Jersey Plan. The Virginia Plan was selected as the basis for the new government, and the delegates quickly reached consensus on a general blueprint of a federal government which has three branches (legislative, executive, and judicial) along with the basic role of each branch. However, disagreement over the specific design and powers of the branches delayed progress for weeks and threatened the success of the convention. The most contentious disputes involved the legislature, specifically the composition and election procedures for the Senate as the upper legislative house of a bicameral Congress, and whether proportional representation was to be defined by a state's geography or by its population. The role of the executive was also hotly debated, including the key issues of whether to divide the executive power among three people or vest the power in a single chief executive to be called the President; how a president would be elected; the length of a presidential term and the number of allowable terms; what offenses should be impeachable; and whether judges should be chosen by the legislature or the executive. Finally, slavery was also a contentious issue, with the delegates debating the insertion of a fugitive slave clause; whether to allow the abolition of the slave trade; and whether slaves were to be counted in proportional representation. Most of the time during the convention was spent on deciding these issues.
Progress was slow until mid-July, when the Connecticut Compromise resolved enough lingering arguments for a draft written by the Committee of Detail to gain acceptance. Though more modifications and compromises were made over the following weeks, most of this draft can be found in the finished version of the Constitution. After several more issues were debated and resolved, the Committee of Style produced the final version in early September. It was voted on by the delegates, inscribed on parchment by Jacob Shallus with engraving for printing, and signed by 39 of 55 delegates on September 17, 1787. The completed proposed Constitution was printed in several copies for review which began the debates and ratification process. Soon after it was also printed in newspapers for public review.","The Constitutional Convention took place in Philadelphia from May 25 to September 17, 1787. Although the convention was intended to revise the league of states and first system of government under the Articles of Confederation, the intention from the outset of many of its proponents, chief among them James Madison of Virginia and Alexander Hamilton of New York, was to create a new frame of government rather than fix the existing one. The delegates elected George Washington of Virginia, former commanding general of the Continental Army in the late American Revolutionary War (1775–1783) and proponent of a stronger national government, to become President of the convention. The result of the convention was the creation of the Constitution of the United States, placing the Convention among the most significant events in American history.
The convention took place in the old Pennsylvania State House, now known as Independence Hall, in Philadelphia. At the time, the convention was not referred to as a constitutional convention. It was contemporarily known as the Federal Convention, the Philadelphia Convention, or the Grand Convention at Philadelphia. Nor did most of the delegates arrive intending to draft a new constitution. Many assumed that the purpose of the convention was to discuss and draft improvements to the existing Articles of Confederation, and would not have agreed to participate otherwise. Once the convention began, however, most of the delegates – though not all – came to agree in general terms that the goal would be a new system of government, not simply a revised version of the Articles of Confederation.
Several broad outlines were proposed and debated, most notably Madison's Virginia Plan and William Paterson's New Jersey Plan. The Virginia Plan was selected as the basis for the new government, and the delegates quickly reached consensus on a general blueprint of a federal government which has three branches (legislative, executive, and judicial) along with the basic role of each branch. However, disagreement over the specific design and powers of the branches delayed progress for weeks and threatened the success of the convention. The most contentious disputes involved the legislature, specifically the composition and election procedures for the Senate as the upper legislative house of a bicameral Congress, and whether proportional representation was to be defined by a state's geography or by its population. The role of the executive was also hotly debated, including the key issues of whether to divide the executive power among three people or vest the power in a single chief executive to be called the President; how a president would be elected; the length of a presidential term and the number of allowable terms; what offenses should be impeachable; and whether judges should be chosen by the legislature or the executive. Finally, slavery was also a contentious issue, with the delegates debating the insertion of a fugitive slave clause; whether to allow the abolition of the slave trade; and whether slaves were to be counted in proportional representation. Most of the time during the convention was spent on deciding these issues.
Progress was slow until mid-July, when the Connecticut Compromise resolved enough lingering arguments for a draft written by the Committee of Detail to gain acceptance. Though more modifications and compromises were made over the following weeks, most of this draft can be found in the finished version of the Constitution. After several more issues were debated and resolved, the Committee of Style produced the final version in early September. It was voted on by the delegates, inscribed on parchment by Jacob Shallus with engraving for printing, and signed by 39 of 55 delegates on September 17, 1787. The completed proposed Constitution was printed in several copies for review which began the debates and ratification process. Soon after it was also printed in newspapers for public review."
Continental (currency),2592002,,
Dearborn–Putnam controversy,50356949,"The Dearborn–Putnam controversy erupted in 1818 when Henry Dearborn published a post-war account of General Israel Putnam's performance during the Battle of Bunker Hill in 1775. Both Putnam and the much younger Dearborn were present before and during the battle, with Dearborn at the front lines while Putnam was about the battle scene directing troops and overseeing the construction of fortifications before the fighting began. Accounts of Putnam's presence during the battle, however, have varied among veteran officers of the battle and some historians. During the battle, there was a fair amount of disorganization among the hastily assembled Continental Army and militia, making it difficult for any one participant to give an overall assessment of everyone's performance.
The actual controversy was sparked 43 years after the battle, when Dearborn published his account of the battle in a widely read political magazine accusing the deceased Putnam of failing to supply reinforcements, inaction, and cowardice. The sons of both Dearborn and Putnam defended their respective fathers' positions, while various Revolutionary War veterans also lent their support respectively. Along with Dearborn, both Republicans and Federalists, now bitter rivals, saw the controversy as an opportunity to advance their party and win the favor of the general public. Dearborn's efforts, however, were largely not well received and cost him his bid for the governorship of Massachusetts. His accusations resulted in a political and social controversy that was widely covered in the press and in several publications from officers present at the battle. Dearborn's accusations were also addressed by several notable public figures, including Daniel Webster. As such, the controversy remained prominent in the public eye for more than 30 years.","The Dearborn–Putnam controversy erupted in 1818 when Henry Dearborn published a post-war account of General Israel Putnam's performance during the Battle of Bunker Hill in 1775. Both Putnam and the much younger Dearborn were present before and during the battle, with Dearborn at the front lines while Putnam was about the battle scene directing troops and overseeing the construction of fortifications before the fighting began. Accounts of Putnam's presence during the battle, however, have varied among veteran officers of the battle and some historians. During the battle, there was a fair amount of disorganization among the hastily assembled Continental Army and militia, making it difficult for any one participant to give an overall assessment of everyone's performance.
The actual controversy was sparked 43 years after the battle, when Dearborn published his account of the battle in a widely read political magazine accusing the deceased Putnam of failing to supply reinforcements, inaction, and cowardice. The sons of both Dearborn and Putnam defended their respective fathers' positions, while various Revolutionary War veterans also lent their support respectively. Along with Dearborn, both Republicans and Federalists, now bitter rivals, saw the controversy as an opportunity to advance their party and win the favor of the general public. Dearborn's efforts, however, were largely not well received and cost him his bid for the governorship of Massachusetts. His accusations resulted in a political and social controversy that was widely covered in the press and in several publications from officers present at the battle. Dearborn's accusations were also addressed by several notable public figures, including Daniel Webster. As such, the controversy remained prominent in the public eye for more than 30 years."
Early American publishers and printers,68793880,"Early American publishers and printers played a central role in the social, religious, political and commercial development of the Thirteen Colonies in British America prior to and during the American Revolution and the ensuing American Revolutionary War that established American independence.
Printing and publishing in the 17th and 18th centuries in the colonies first emerged as a result of religious enthusiasm and over the scarcity and subsequent great demand for bibles and other religious literature. By the mid-18th century, printing took on new proportions with the newspapers that began to emerge, especially in Boston. When the British Crown began imposing new taxes, many of these newspapers became highly critical and outspoken about the British colonial government, which was widely considered unfair among the colonists.
In the early years of colonial settlement, communication between the various colonies, which were often hundreds of miles apart, was generally restricted to dispatches, hand-written one at a time, then carried by private carriers to their destinations. Prior to 1700, there were no newspapers in the colonies, so official news came slowly, especially to those who lived away from the colonial seat of government in the major townships or in the remote countryside. Colonial law and news overall was therefore not available in comprehensive print form for the common colonist, whose only knowledge of these things was usually passed on by word of mouth from colonial officials or traveling couriers, or by means of a simple post in a town square. Religious literature was also scarce, and while many colonists possessed bibles, usually brought over from England, they were generally in short supply, while religious literature overall was in great demand among the colonists.
As the British Parliament continued imposing additional taxes, especially in 1765 with the Stamp Act, several colonial newspapers and pamphlets began openly editorializing against British policies and supporting the aims of the American Revolution. The most notable printers of the time included Benjamin Franklin, William Goddard, William Bradford and others, who were politically involved in the controversy with the British Crown over taxation, freedom of the press and other such rights. A number of printers, including Goddard and Bradford, belonged to the Sons of Liberty and used their printing presses as a means of promoting colonial opposition to the Stamp Act and other royal legislation they deemed unfair to them as colonial Englishmen who lacked representation in the Parliament. The open criticism of such advents coming from the press often brought accusations of printing libelous and seditious material.
The plentiful historical accounts of the colonial period still have brought little investigation into how printers affected the religious, social and political growth in the colonies. Most scholarship on printers and publishing in the colonies confines itself to either an account of individuals such as Isaiah Thomas in the context of each colony, or only lends itself to the mechanics of printing presses and typography, as does Lawrence Wroth in The Colonial Printer. According to Wroth, however, the overall subject of early American printing and publishing as it affected political and social issues in the colonies and how it ultimately led to a revolution, which is the focus of this article, has been pursued with a ""noticeable reluctance"".","Early American publishers and printers played a central role in the social, religious, political and commercial development of the Thirteen Colonies in British America prior to and during the American Revolution and the ensuing American Revolutionary War that established American independence.
Printing and publishing in the 17th and 18th centuries in the colonies first emerged as a result of religious enthusiasm and over the scarcity and subsequent great demand for bibles and other religious literature. By the mid-18th century, printing took on new proportions with the newspapers that began to emerge, especially in Boston. When the British Crown began imposing new taxes, many of these newspapers became highly critical and outspoken about the British colonial government, which was widely considered unfair among the colonists.
In the early years of colonial settlement, communication between the various colonies, which were often hundreds of miles apart, was generally restricted to dispatches, hand-written one at a time, then carried by private carriers to their destinations. Prior to 1700, there were no newspapers in the colonies, so official news came slowly, especially to those who lived away from the colonial seat of government in the major townships or in the remote countryside. Colonial law and news overall was therefore not available in comprehensive print form for the common colonist, whose only knowledge of these things was usually passed on by word of mouth from colonial officials or traveling couriers, or by means of a simple post in a town square. Religious literature was also scarce, and while many colonists possessed bibles, usually brought over from England, they were generally in short supply, while religious literature overall was in great demand among the colonists.
As the British Parliament continued imposing additional taxes, especially in 1765 with the Stamp Act, several colonial newspapers and pamphlets began openly editorializing against British policies and supporting the aims of the American Revolution. The most notable printers of the time included Benjamin Franklin, William Goddard, William Bradford and others, who were politically involved in the controversy with the British Crown over taxation, freedom of the press and other such rights. A number of printers, including Goddard and Bradford, belonged to the Sons of Liberty and used their printing presses as a means of promoting colonial opposition to the Stamp Act and other royal legislation they deemed unfair to them as colonial Englishmen who lacked representation in the Parliament. The open criticism of such advents coming from the press often brought accusations of printing libelous and seditious material.
The plentiful historical accounts of the colonial period still have brought little investigation into how printers affected the religious, social and political growth in the colonies. Most scholarship on printers and publishing in the colonies confines itself to either an account of individuals such as Isaiah Thomas in the context of each colony, or only lends itself to the mechanics of printing presses and typography, as does Lawrence Wroth in The Colonial Printer. According to Wroth, however, the overall subject of early American printing and publishing as it affected political and social issues in the colonies and how it ultimately led to a revolution, which is the focus of this article, has been pursued with a ""noticeable reluctance""."
Financial costs of the American Revolutionary War,33543787,"The American Revolutionary War inflicted great financial costs on all of the combatants, including the United States, France, Spain and the Kingdom of Great Britain. France and Great Britain spent 1.3 billion livres and 250 million pounds, respectively. The United States spent $400 million in wages for its troops. Spain increased its military spending from 454 million reales in 1778 to over 700 million reales in 1781.","The American Revolutionary War inflicted great financial costs on all of the combatants, including the United States, France, Spain and the Kingdom of Great Britain. France and Great Britain spent 1.3 billion livres and 250 million pounds, respectively. The United States spent $400 million in wages for its troops. Spain increased its military spending from 454 million reales in 1778 to over 700 million reales in 1781."
Founding Fathers of the United States,540802,"The Founding Fathers of the United States, commonly referred to as the Founding Fathers, were a group of late-18th-century American revolutionary leaders who united the Thirteen Colonies, oversaw the War of Independence from Great Britain, established the United States of America, and crafted a framework of government for the new nation. 
The Founding Fathers include those who signed the United States Declaration of Independence, the Articles of Confederation, the United States Constitution and others. In 1973, historian Richard B. Morris identified seven figures as key founders, based on what he called the ""triple tests"" of leadership, longevity, and statesmanship: John Adams, Benjamin Franklin, Alexander Hamilton, John Jay, Thomas Jefferson, James Madison, and George Washington.
Most of the Founding Fathers were of English ancestry, though many had family roots extending across various regions of the British Isles, including Scotland, Wales, and Ireland. Additionally, some traced their lineage back to the early Dutch settlers of New York (New Netherland) during the colonial era, while others were descendants of French Huguenots who settled in the colonies, escaping religious persecution in France.

","The Founding Fathers of the United States, commonly referred to as the Founding Fathers, were a group of late-18th-century American revolutionary leaders who united the Thirteen Colonies, oversaw the War of Independence from Great Britain, established the United States of America, and crafted a framework of government for the new nation. 
The Founding Fathers include those who signed the United States Declaration of Independence, the Articles of Confederation, the United States Constitution and others. In 1973, historian Richard B. Morris identified seven figures as key founders, based on what he called the ""triple tests"" of leadership, longevity, and statesmanship: John Adams, Benjamin Franklin, Alexander Hamilton, John Jay, Thomas Jefferson, James Madison, and George Washington.
Most of the Founding Fathers were of English ancestry, though many had family roots extending across various regions of the British Isles, including Scotland, Wales, and Ireland. Additionally, some traced their lineage back to the early Dutch settlers of New York (New Netherland) during the colonial era, while others were descendants of French Huguenots who settled in the colonies, escaping religious persecution in France.

"
George Washington's tent,51456666,"General George Washington used a pair of campaign tents throughout much of the American Revolutionary War. In warm weather, he used one for dining with his officers and aides, and the other as his military office and sleeping quarters. Canvas panels and poles from both tents survive, and are currently owned by four separate historical organizations.","General George Washington used a pair of campaign tents throughout much of the American Revolutionary War. In warm weather, he used one for dining with his officers and aides, and the other as his military office and sleeping quarters. Canvas panels and poles from both tents survive, and are currently owned by four separate historical organizations."
Give me liberty or give me death!,10533359,"""Give me liberty or give me death!"" is a quotation attributed to American politician and orator Patrick Henry from a speech he made to the Second Virginia Convention on March 23, 1775, at St. John's Church in Richmond, Virginia.  Henry is credited with having swung the balance in convincing the convention to pass a resolution delivering Virginian troops for the Revolutionary War. Among the delegates to the convention were future United States presidents Thomas Jefferson and George Washington.
Over forty years after Patrick Henry delivered his speech and eighteen years after his death, biographer William Wirt published a posthumous reconstruction of the speech in his 1817 work Sketches of the Life and Character of Patrick Henry. This is the version of the speech as it is widely known today and was reconstructed based on the recollections of elderly witnesses many decades later. A scholarly debate persists among colonial historians as to what extent Wirt or others invented parts of the speech including its famous closing words.","""Give me liberty or give me death!"" is a quotation attributed to American politician and orator Patrick Henry from a speech he made to the Second Virginia Convention on March 23, 1775, at St. John's Church in Richmond, Virginia.  Henry is credited with having swung the balance in convincing the convention to pass a resolution delivering Virginian troops for the Revolutionary War. Among the delegates to the convention were future United States presidents Thomas Jefferson and George Washington.
Over forty years after Patrick Henry delivered his speech and eighteen years after his death, biographer William Wirt published a posthumous reconstruction of the speech in his 1817 work Sketches of the Life and Character of Patrick Henry. This is the version of the speech as it is widely known today and was reconstructed based on the recollections of elderly witnesses many decades later. A scholarly debate persists among colonial historians as to what extent Wirt or others invented parts of the speech including its famous closing words."
Gwynn's Island,29709904,"Gwynn's Island is a summer colony island located in the Chesapeake Bay off of Virginia's Middle Peninsula. The island is located in the northeast part of Mathews County, south of the mouth of the Piankatank River. It is connected to the rest of the county by a swing bridge over Milford Haven. The communities of Gwynn and Grimstead are located on the island.

","Gwynn's Island is a summer colony island located in the Chesapeake Bay off of Virginia's Middle Peninsula. The island is located in the northeast part of Mathews County, south of the mouth of the Piankatank River. It is connected to the rest of the county by a swing bridge over Milford Haven. The communities of Gwynn and Grimstead are located on the island.

"
Samuel Hall (printer),72024924,"Samuel Hall (1740-1807), was an Early American publisher and printer, newspaper editor, and an ardent colonial American patriot from Bedford, Massachusetts who was active in this capacity before and during the American Revolution, often printing newspapers and pamphlets in support of American independence. Hall was the founder of The Essex Gazette, the first newspaper published in Salem, Massachusetts in 1768. He often employed his newspaper as a voice supporting colonial grievances over taxation and other actions by the British Parliament that were considered oppressive, and ultimately in support of American independence.","Samuel Hall (1740-1807), was an Early American publisher and printer, newspaper editor, and an ardent colonial American patriot from Bedford, Massachusetts who was active in this capacity before and during the American Revolution, often printing newspapers and pamphlets in support of American independence. Hall was the founder of The Essex Gazette, the first newspaper published in Salem, Massachusetts in 1768. He often employed his newspaper as a voice supporting colonial grievances over taxation and other actions by the British Parliament that were considered oppressive, and ultimately in support of American independence."
"Historical reenactment in Concord and Lexington, Massachusetts",45387563,"The towns of Concord and Lexington, Massachusetts, are the site of Minute Man National Historical Park, a park governed by the National Park Service. The most highly attended event in the park is the annual reenactment of the first shots of the Battles of Lexington and Concord, performed by the  Lexington Minute Men Company and His Majesty's Tenth Regiment of Foot.

","The towns of Concord and Lexington, Massachusetts, are the site of Minute Man National Historical Park, a park governed by the National Park Service. The most highly attended event in the park is the annual reenactment of the first shots of the Battles of Lexington and Concord, performed by the  Lexington Minute Men Company and His Majesty's Tenth Regiment of Foot.

"
Historiography of the Gaspee affair,33072512,"The historiography of the Gaspee affair examines the changing views of historians and scholars with regard to the burning of HMS Gaspee, a British customs schooner that ran aground while patrolling coastal waters near Newport, Rhode Island and was boarded and destroyed by colonists during the lead up to the American Revolution in 1772. Scholars agree that the incident sparked a period of renewed tension between Great Britain and its American colonies, but they disagree as to the specific long- and short-term impacts of the attack on British and colonial policies and attitudes.

","The historiography of the Gaspee affair examines the changing views of historians and scholars with regard to the burning of HMS Gaspee, a British customs schooner that ran aground while patrolling coastal waters near Newport, Rhode Island and was boarded and destroyed by colonists during the lead up to the American Revolution in 1772. Scholars agree that the incident sparked a period of renewed tension between Great Britain and its American colonies, but they disagree as to the specific long- and short-term impacts of the attack on British and colonial policies and attitudes.

"
Impressment,456207,"Impressment, colloquially ""the press"" or the ""press gang"", is the forced conscription of men into a military force, especially a naval force, via intimidation and physical coercion, conducted by an organized group (hence ""gang""). European navies of several nations used forced recruitment by various means. The large size of the British Royal Navy in the Age of Sail meant impressment was most commonly associated with Great Britain and Ireland. It was used by the Royal Navy in wartime, beginning in 1664 and during the 18th and early 19th centuries as a means of crewing warships, although legal sanction for the practice can be traced back to the time of Edward I of England. The Royal Navy impressed many merchant sailors, as well as some sailors from other, mostly European, nations. People liable to impressment were ""eligible men of seafaring habits between the ages of 18 and 55 years"". Non-seamen were sometimes impressed as well, though rarely. In addition to the Royal Navy's use of impressment, the British Army also experimented with impressment from 1778 to 1780.
Impressment was strongly criticised by those who believed it to be contrary to the British constitution. Though the public opposed conscription in general, impressment was repeatedly upheld by the courts, as it was deemed vital to the strength of the navy and, by extension, to the survival of the British realm and influence.
Impressment was essentially a Royal Navy practice, reflecting the sheer size of the British fleet and its substantial manpower demands. While other European navies applied forced recruitment in times of war, this was generally done as an extension of the practice of formal conscription applied by most European armies from the Napoleonic Wars on.
The impressment of seamen from American ships caused serious tensions between Britain and the Thirteen Colonies in the years leading up to the Revolutionary War.  One of the 27 colonial grievances enumerated in the Declaration of Independence directly highlights the practice.  It was again a cause of tension leading up to the War of 1812. After the defeat of Napoleon in 1815, Britain formally ended the practice; later conscription was not limited to the Royal Navy but covered all British armed forces.","Impressment, colloquially ""the press"" or the ""press gang"", is the forced conscription of men into a military force, especially a naval force, via intimidation and physical coercion, conducted by an organized group (hence ""gang""). European navies of several nations used forced recruitment by various means. The large size of the British Royal Navy in the Age of Sail meant impressment was most commonly associated with Great Britain and Ireland. It was used by the Royal Navy in wartime, beginning in 1664 and during the 18th and early 19th centuries as a means of crewing warships, although legal sanction for the practice can be traced back to the time of Edward I of England. The Royal Navy impressed many merchant sailors, as well as some sailors from other, mostly European, nations. People liable to impressment were ""eligible men of seafaring habits between the ages of 18 and 55 years"". Non-seamen were sometimes impressed as well, though rarely. In addition to the Royal Navy's use of impressment, the British Army also experimented with impressment from 1778 to 1780.
Impressment was strongly criticised by those who believed it to be contrary to the British constitution. Though the public opposed conscription in general, impressment was repeatedly upheld by the courts, as it was deemed vital to the strength of the navy and, by extension, to the survival of the British realm and influence.
Impressment was essentially a Royal Navy practice, reflecting the sheer size of the British fleet and its substantial manpower demands. While other European navies applied forced recruitment in times of war, this was generally done as an extension of the practice of formal conscription applied by most European armies from the Napoleonic Wars on.
The impressment of seamen from American ships caused serious tensions between Britain and the Thirteen Colonies in the years leading up to the Revolutionary War.  One of the 27 colonial grievances enumerated in the Declaration of Independence directly highlights the practice.  It was again a cause of tension leading up to the War of 1812. After the defeat of Napoleon in 1815, Britain formally ended the practice; later conscription was not limited to the Royal Navy but covered all British armed forces."
Johnny Has Gone for a Soldier,20333440,"""Johnny Has Gone for a Soldier"" is an Irish folk song.  The lyrics lament the sacrifices that men and women make in going off to war. Men would help by going off to war and women would help by sacrificing men and selling goods to buy military supplies. This folk song was popular throughout the American Revolutionary War. Although its meaning is known, its history is not. Peter, Paul, and Mary used the first and third verses of the song in the arranged song ""Gone the Rainbow"" from their second album Moving (1963).","""Johnny Has Gone for a Soldier"" is an Irish folk song.  The lyrics lament the sacrifices that men and women make in going off to war. Men would help by going off to war and women would help by sacrificing men and selling goods to buy military supplies. This folk song was popular throughout the American Revolutionary War. Although its meaning is known, its history is not. Peter, Paul, and Mary used the first and third verses of the song in the arranged song ""Gone the Rainbow"" from their second album Moving (1963)."
"Join, or Die",5604355,"Join, or Die. is a political cartoon showing the disunity in the American colonies. Attributed to Benjamin Franklin, the original publication by The Pennsylvania Gazette on May 9, 1754, is the earliest known pictorial representation of colonial union produced by an American colonist in Colonial America.   It was based on a superstition that if a snake was cut in pieces and the pieces were put together before sunset, the snake would return to life.
The cartoon is a woodcut showing a snake cut into eighths, with each segment labeled with the initials of one of the American colonies or regions. New England was represented as one segment, rather than the four colonies it was at that time. Delaware was not listed separately as it was part of Pennsylvania. Georgia, however, was omitted completely. As a result, it has eight segments of a snake rather than the traditional 13 colonies. The poster focused solely on the colonies that claimed shared identities as Americans. The cartoon appeared along with Franklin's editorial about the ""disunited state"" of the colonies and helped make his point about the importance of colonial unity. It later became a symbol of colonial freedom during the American Revolutionary War.","Join, or Die. is a political cartoon showing the disunity in the American colonies. Attributed to Benjamin Franklin, the original publication by The Pennsylvania Gazette on May 9, 1754, is the earliest known pictorial representation of colonial union produced by an American colonist in Colonial America.   It was based on a superstition that if a snake was cut in pieces and the pieces were put together before sunset, the snake would return to life.
The cartoon is a woodcut showing a snake cut into eighths, with each segment labeled with the initials of one of the American colonies or regions. New England was represented as one segment, rather than the four colonies it was at that time. Delaware was not listed separately as it was part of Pennsylvania. Georgia, however, was omitted completely. As a result, it has eight segments of a snake rather than the traditional 13 colonies. The poster focused solely on the colonies that claimed shared identities as Americans. The cartoon appeared along with Franklin's editorial about the ""disunited state"" of the colonies and helped make his point about the importance of colonial unity. It later became a symbol of colonial freedom during the American Revolutionary War."
Lexington Alarm,14744194,"The Lexington Alarm announced, throughout the American Colonies, that the Revolutionary War began with the Battle of Lexington and the Siege of Boston on April 19, 1775. The goal was to rally patriots at a grass roots level to fight against the British Redcoats and support the minutemen of the Massachusetts militia.

","The Lexington Alarm announced, throughout the American Colonies, that the Revolutionary War began with the Battle of Lexington and the Siege of Boston on April 19, 1775. The goal was to rally patriots at a grass roots level to fight against the British Redcoats and support the minutemen of the Massachusetts militia.

"
Libertas Americana,58793306,"The Libertas Americana was a medal made to commemorate the American Revolution. It was designed in part by Benjamin Franklin.
A Libertas Americana was showcased on season 15 of the American reality television series Pawn Stars. It was sold for 150,000 dollars.","The Libertas Americana was a medal made to commemorate the American Revolution. It was designed in part by Benjamin Franklin.
A Libertas Americana was showcased on season 15 of the American reality television series Pawn Stars. It was sold for 150,000 dollars."
Liberty Affair,69700447,"The Liberty Affair was an incident that culminated to a riot in 1768, leading to the Boston Massacre on March 5, 1770. It involved the seizure of the Liberty, a sloop owned by local smuggler and merchant John Hancock, by British authorities. This incident, which showed the difficulties in enforcing British revenue laws and growing colonial resentment against British rule, formed part of the series of events that led to the American Revolution.","The Liberty Affair was an incident that culminated to a riot in 1768, leading to the Boston Massacre on March 5, 1770. It involved the seizure of the Liberty, a sloop owned by local smuggler and merchant John Hancock, by British authorities. This incident, which showed the difficulties in enforcing British revenue laws and growing colonial resentment against British rule, formed part of the series of events that led to the American Revolution."
Liberty pole,1162392,"A liberty pole is a wooden pole, or sometimes spear or lance, surmounted by a ""cap of liberty"", mostly of the Phrygian cap. The symbol originated in the immediate aftermath of the assassination of the Roman dictator Julius Caesar by a group of Rome's Senators in 44 BCE. Immediately after Caesar was killed the assassins, or Liberatores as they called themselves, went through the streets with their bloody weapons held up, one carrying a pileus (a kind of skullcap that identified a freed slave, not in fact a Phrygian cap) carried on the tip of a spear.  This symbolized that the Roman people had been freed from the rule of Caesar, which the assassins claimed had become a tyranny because it overstepped the authority of the Senate and thus betrayed the Republic.

The liberty pole was not thereafter part of the normal Roman depiction of Libertas, the Roman goddess of liberty, who is very often shown holding out a pileus, and carrying a pole or rod. Both refer to the ceremony granting freeman status to a slave, where the subject was touched with the rod, and given the hat.  But the hat raised on the end of the pole was shown as an attribute held by Libertas on some coins of the emperor Antoninus Pius, which was enough, with the literary references, to bring it to the attention of Renaissance antiquarians. The pileus itself was shown between two daggers, with the inscription ""Ides of March"", on some very famous coins made by the assassins of Julius Caesar in the civil war following the assassination.
After the Renaissance, the liberty pole became a common element in the depiction of liberty, initially in a small version carried by personifications, and also later as a larger actual physical object planted in the ground, used as a type of flagstaff.","A liberty pole is a wooden pole, or sometimes spear or lance, surmounted by a ""cap of liberty"", mostly of the Phrygian cap. The symbol originated in the immediate aftermath of the assassination of the Roman dictator Julius Caesar by a group of Rome's Senators in 44 BCE. Immediately after Caesar was killed the assassins, or Liberatores as they called themselves, went through the streets with their bloody weapons held up, one carrying a pileus (a kind of skullcap that identified a freed slave, not in fact a Phrygian cap) carried on the tip of a spear.  This symbolized that the Roman people had been freed from the rule of Caesar, which the assassins claimed had become a tyranny because it overstepped the authority of the Senate and thus betrayed the Republic.

The liberty pole was not thereafter part of the normal Roman depiction of Libertas, the Roman goddess of liberty, who is very often shown holding out a pileus, and carrying a pole or rod. Both refer to the ceremony granting freeman status to a slave, where the subject was touched with the rod, and given the hat.  But the hat raised on the end of the pole was shown as an attribute held by Libertas on some coins of the emperor Antoninus Pius, which was enough, with the literary references, to bring it to the attention of Renaissance antiquarians. The pileus itself was shown between two daggers, with the inscription ""Ides of March"", on some very famous coins made by the assassins of Julius Caesar in the civil war following the assassination.
After the Renaissance, the liberty pole became a common element in the depiction of liberty, initially in a small version carried by personifications, and also later as a larger actual physical object planted in the ground, used as a type of flagstaff."
Liberty Tree,2447096,"The Liberty Tree (1646–1775) was a famous elm tree that stood in Boston, Massachusetts near Boston Common in the years before the American Revolution. In 1765, Patriots in Boston staged the first act of defiance against the British government at the tree. The tree became a rallying point for the growing resistance to the rule of Britain over the American colonies, and the ground surrounding it became known as Liberty Hall. The Liberty Tree was felled in August 1775 by Loyalists led by Nathaniel Coffin Jr. or by Job Williams.","The Liberty Tree (1646–1775) was a famous elm tree that stood in Boston, Massachusetts near Boston Common in the years before the American Revolution. In 1765, Patriots in Boston staged the first act of defiance against the British government at the tree. The tree became a rallying point for the growing resistance to the rule of Britain over the American colonies, and the ground surrounding it became known as Liberty Hall. The Liberty Tree was felled in August 1775 by Loyalists led by Nathaniel Coffin Jr. or by Job Williams."
List of early American publishers and printers,69083270,"List of early American publishers and printers is a stand alone list of Wikipedia articles about publishers and printers in colonial and early America, intended as a quick reference, with basic descriptions taken from the ledes of the respective articles.","List of early American publishers and printers is a stand alone list of Wikipedia articles about publishers and printers in colonial and early America, intended as a quick reference, with basic descriptions taken from the ledes of the respective articles."
